tool,oracle,level,processing_time_avg,processing_time_median,tp,fp,fn,precision,recall
tracker,training,change,3683.865145,2229,5041,23,26,99.545814,99.486876
tracker,training,commit,3683.865145,2229,4700,8,12,99.830076,99.745331
tracker,test,change,3450.908228,1693,1021,8,5,99.222546,99.512671
tracker,test,commit,3450.908228,1693,950,4,1,99.580713,99.894848
