Tool, Runtime
GumTree_all, 9459
GumTree_all, 60814
GumTree_all, 60866
GumTree_all, 20594
GumTree_all, 20237
GumTree_all, 57114
GumTree_all, 20363
GumTree_all, 60884
GumTree_all, 61005
GumTree_all, 60898
GumTree_all, 20453
GumTree_all, 60685
GumTree_all, 48084
GumTree_all, 60480
GumTree_all, 28609
GumTree_all, 436
GumTree_all, 60715
GumTree_all, 21039
GumTree_all, 40170
GumTree_all, 62800
GumTree_all, 20587
GumTree_all, 46525
GumTree_all, 21811
GumTree_all, 36377
GumTree_all, 5014
GumTree_all, 42947
GumTree_all, 39822
GumTree_all, 42268
GumTree_all, 42905
GumTree_all, 6595
GumTree_all, 39881
GumTree_all, 22046
GumTree_all, 41767
GumTree_all, 42282
GumTree_all, 42689
GumTree_all, 41804
GumTree_all, 42224
GumTree_all, 41687
GumTree_all, 41664
GumTree_all, 42404
GumTree_all, 43402
GumTree_all, 45662
GumTree_all, 19778
GumTree_all, 45534
GumTree_all, 2821
GumTree_all, 5224
GumTree_all, 2756
GumTree_all, 2737
GumTree_all, 42259
GumTree_all, 40233
GumTree_all, 45063
GumTree_all, 45486
GumTree_all, 46145
GumTree_all, 45235
GumTree_all, 45498
GumTree_all, 46114
GumTree_all, 45334
GumTree_all, 45501
GumTree_all, 15050
GumTree_all, 7129
GumTree_all, 2798
GumTree_all, 1949
GumTree_all, 2073
GumTree_all, 7157
GumTree_all, 3712
GumTree_all, 5448
GumTree_all, 5459
GumTree_all, 5451
GumTree_all, 5458
GumTree_all, 6922
GumTree_all, 6624
GumTree_all, 6308
GumTree_all, 3038
GumTree_all, 5766
GumTree_all, 5849
GumTree_all, 2694
GumTree_all, 6272
GumTree_all, 25229
GumTree_all, 3938
GumTree_all, 26156
GumTree_all, 25621
GumTree_all, 25653
GumTree_all, 16214
GumTree_all, 25406
GumTree_all, 3134
GumTree_all, 15625
GumTree_all, 26253
GumTree_all, 25796
GumTree_all, 25845
GumTree_all, 3810
GumTree_all, 3735
GumTree_all, 4096
GumTree_all, 3437
GumTree_all, 2782
GumTree_all, 2657
GumTree_all, 2633
GumTree_all, 2662
GumTree_all, 2652
GumTree_all, 96490
GumTree_all, 150264
GumTree_all, 148699
GumTree_all, 17906
GumTree_all, 25760
GumTree_all, 25264
GumTree_all, 25146
GumTree_all, 149925
GumTree_all, 135378
GumTree_all, 66716
GumTree_all, 142287
GumTree_all, 149363
GumTree_all, 18205
GumTree_all, 171820
GumTree_all, 3080
GumTree_all, 88094
GumTree_all, 156430
GumTree_all, 169658
GumTree_all, 172068
GumTree_all, 88394
GumTree_all, 171085
GumTree_all, 166965
GumTree_all, 156621
GumTree_all, 123266
GumTree_all, 124124
GumTree_all, 156780
GumTree_all, 967
GumTree_all, 1702
GumTree_all, 3818
GumTree_all, 376186
GumTree_all, 84783
GumTree_all, 86771
GumTree_all, 84655
GumTree_all, 19768
GumTree_all, 20262
GumTree_all, 84877
GumTree_all, 22674
GumTree_all, 19773
GumTree_all, 83934
GumTree_all, 84406
GumTree_all, 83359
GumTree_all, 85415
GumTree_all, 85892
GumTree_all, 86386
GumTree_all, 19910
GumTree_all, 173
GumTree_all, 13697
GumTree_all, 9345
GumTree_all, 13815
GumTree_all, 24558
GumTree_all, 25346
GumTree_all, 25495
GumTree_all, 24815
GumTree_all, 14198
GumTree_all, 16257
GumTree_all, 13511
GumTree_all, 16473
GumTree_all, 13379
GumTree_all, 13427
GumTree_all, 12204
GumTree_all, 12177
GumTree_all, 16522
GumTree_all, 14373
GumTree_all, 14258
GumTree_all, 13485
GumTree_all, 3683
GumTree_all, 13456
GumTree_all, 13903
GumTree_all, 17041
GumTree_all, 11877
GumTree_all, 13797
GumTree_all, 16726
GumTree_all, 30910
GumTree_all, 29030
GumTree_all, 31622
GumTree_all, 30273
GumTree_all, 31693
GumTree_all, 30353
GumTree_all, 30684
GumTree_all, 52772
GumTree_all, 52484
GumTree_all, 41421
GumTree_all, 23954
GumTree_all, 53076
GumTree_all, 17785
GumTree_all, 34546
GumTree_all, 10002
GumTree_all, 10050
GumTree_all, 32411
GumTree_all, 30662
GumTree_all, 26708
GumTree_all, 33308
GumTree_all, 51881
GumTree_all, 40971
GumTree_all, 52553
GumTree_all, 29536
GumTree_all, 27469
GumTree_all, 36566
GumTree_all, 51461
GumTree_all, 15426
GumTree_all, 35322
GumTree_all, 51714
GumTree_all, 53018
GumTree_all, 49557
GumTree_all, 46189
GumTree_all, 41200
GumTree_all, 23484
GumTree_all, 8848
GumTree_all, 28259
GumTree_all, 41585
GumTree_all, 45930
GumTree_all, 23934
GumTree_all, 45790
GumTree_all, 46197
GumTree_all, 45492
GumTree_all, 24061
GumTree_all, 23368
GumTree_all, 46818
GumTree_all, 46526
GumTree_all, 27556
GumTree_all, 25962
GumTree_all, 23457
GumTree_all, 23540
GumTree_all, 24005
GumTree_all, 24026
GumTree_all, 23426
GumTree_all, 25176
GumTree_all, 23833
GumTree_all, 24103
GumTree_all, 24172
GumTree_all, 43344
GumTree_all, 19990
GumTree_all, 27473
GumTree_all, 30701
GumTree_all, 24804
GumTree_all, 26377
GumTree_all, 46018
GumTree_all, 23765
GumTree_all, 45862
GumTree_all, 23895
GumTree_all, 45590
GumTree_all, 24023
GumTree_all, 17960
GumTree_all, 15392
GumTree_all, 23741
GumTree_all, 45753
GumTree_all, 57100
GumTree_all, 26341
GumTree_all, 57145
GumTree_all, 18675
GumTree_all, 13043
GumTree_all, 12166
GumTree_all, 21965
GumTree_all, 12465
GumTree_all, 53599
GumTree_all, 53892
GumTree_all, 54367
GumTree_all, 54008
GumTree_all, 41171
GumTree_all, 41438
GumTree_all, 22133
GumTree_all, 18846
GumTree_all, 9327
GumTree_all, 21881
GumTree_all, 4213
GumTree_all, 54226
GumTree_all, 57135
GumTree_all, 57326
GumTree_all, 7877
GumTree_all, 14738
GumTree_all, 7072
GumTree_all, 2184
GumTree_all, 7129
GumTree_all, 8661
GumTree_all, 8495
GumTree_all, 7829
GumTree_all, 8273
GumTree_all, 9707
GumTree_all, 13054
GumTree_all, 8315
GumTree_all, 8832
GumTree_all, 15421
GumTree_all, 9736
GumTree_all, 14525
GumTree_all, 5364
GumTree_all, 2180
GumTree_all, 7109
GumTree_all, 7401
GumTree_all, 7226
GumTree_all, 14291
GumTree_all, 13253
GumTree_all, 2669
GumTree_all, 9384
GumTree_all, 9387
GumTree_all, 8837
GumTree_all, 15353
GumTree_all, 8824
GumTree_all, 6883
GumTree_all, 13334
GumTree_all, 7081
GumTree_all, 7272
GumTree_all, 7600
GumTree_all, 7253
GumTree_all, 4968
GumTree_all, 15096
GumTree_all, 6774
GumTree_all, 8074
GumTree_all, 12647
GumTree_all, 14871
GumTree_all, 8277
GumTree_all, 5892
GumTree_all, 14735
GumTree_all, 8335
GumTree_all, 14508
GumTree_all, 15322
GumTree_all, 16123
GumTree_all, 7518
GumTree_all, 8283
GumTree_all, 11131
GumTree_all, 7800
GumTree_all, 8149
GumTree_all, 3466
GumTree_all, 13329
GumTree_all, 7543
GumTree_all, 7005
GumTree_all, 7013
GumTree_all, 12647
GumTree_all, 2504
GumTree_all, 7730
GumTree_all, 10615
GumTree_all, 7620
GumTree_all, 13770
GumTree_all, 3410
GumTree_all, 47708
GumTree_all, 48040
GumTree_all, 11671
GumTree_all, 48071
GumTree_all, 48480
GumTree_all, 48263
GumTree_all, 47930
GumTree_all, 48086
GumTree_all, 34017
GumTree_all, 47748
GumTree_all, 42849
GumTree_all, 49209
GumTree_all, 23391
GumTree_all, 48463
GumTree_all, 11376
GumTree_all, 48492
GumTree_all, 8007
GumTree_all, 47725
GumTree_all, 48048
GumTree_all, 2587
GumTree_all, 47953
GumTree_all, 48273
GumTree_all, 27722
GumTree_all, 23060
GumTree_all, 35521
GumTree_all, 36035
GumTree_all, 14286
GumTree_all, 7338
GumTree_all, 35445
GumTree_all, 34635
GumTree_all, 10652
GumTree_all, 17568
GumTree_all, 9674
GumTree_all, 15597
GumTree_all, 5577
GumTree_all, 35541
GumTree_all, 35782
GumTree_all, 9052
GumTree_all, 9294
GumTree_all, 26183
GumTree_all, 28779
GumTree_all, 7351
GumTree_all, 35874
GumTree_all, 27657
GumTree_all, 36093
GumTree_all, 35259
GumTree_all, 54729
GumTree_all, 51205
GumTree_all, 56210
GumTree_all, 10218
GumTree_all, 51881
GumTree_all, 52948
GumTree_all, 17800
GumTree_all, 55653
GumTree_all, 10336
GumTree_all, 35773
