tool,oracle,level,processing_time_avg,processing_time_median,tp,fp,fn,precision,recall
tracker,training,change,3225.016760,1570,1259,0,0,100.000000,100.000000
tracker,training,commit,3225.016760,1570,1147,0,0,100.000000,100.000000
tracker,test,change,8807.967213,3010,404,3,1,99.262899,99.753086
tracker,test,commit,8807.967213,3010,368,1,0,99.728997,100.000000
