tool,oracle,level,processing_time_avg,processing_time_median,tp,fp,fn,precision,recall
tracker,training,change,23291.000000,4220,346,3,23,99.140401,93.766938
tracker,training,commit,23291.000000,4220,330,0,16,100.000000,95.375723
tracker,test,change,13638.636364,5254,321,2,10,99.380805,96.978852
tracker,test,commit,13638.636364,5254,320,0,6,100.000000,98.159509
