file_name, repository,element_key,parent_commit_id,commit_id,commit_time, change_type,element_file_before,element_file_after,element_name_before,element_name_after,result,comment
checkstyle-JavadocMethodCheck.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.checks.javadoc.(public)JavadocMethodCheck(43)",2ef6dc6a43ede89c5b5b9091dee83e1e58bb5edc,04ac5dd87c11a2bf7b908b45bbca7933382df515,1054648289,moved,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.checks.(public)JavadocMethodCheck(38)","src/checkstyle/com.puppycrawl.tools.checkstyle.checks.javadoc.(public)JavadocMethodCheck(40)",TP,"Move Class com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck moved to com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck"
checkstyle-JavadocMethodCheck.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.checks.javadoc.(public)JavadocMethodCheck(43)",f42953e35be5c7dc3831bdf6dbbfca7f7ccd7b97,c75f97dbc2123f550a1acc64886a8bebf4b888cf,1036501994,introduced,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.checks.(public)JavadocMethodCheck(38)","src/checkstyle/com.puppycrawl.tools.checkstyle.checks.(public)JavadocMethodCheck(38)",TP,"new class"
checkstyle-Main.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.(public)(final)Main(57)",1cdaeaaa4fbf02a7388f1fcbea1c86ef0ea32fed,f1efb27670a93690577f1bae17fc9dcbd88a795d,1393953491,container change,src/checkstyle/com/puppycrawl/tools/checkstyle/Main.java,src/main/java/com/puppycrawl/tools/checkstyle/Main.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.(public)(final)Main(42)","src/main/java/com.puppycrawl.tools.checkstyle.(public)(final)Main(42)",TP,"Move Source Folder src/checkstyle to src/main/java"
checkstyle-Main.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.(public)(final)Main(57)",5f53a2a380e038e791af244b42f245b813dbc379,0fd69594a4c3e82f92f93f0371791da66938f8c3,993216264,introduced,src/checkstyle/com/puppycrawl/tools/checkstyle/Main.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Main.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.(public)(final)Main(23)","src/checkstyle/com.puppycrawl.tools.checkstyle.(public)(final)Main(23)",TP,"new class"
checkstyle-TreeWalker.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.(public)(final)TreeWalker(47)",1cdaeaaa4fbf02a7388f1fcbea1c86ef0ea32fed,f1efb27670a93690577f1bae17fc9dcbd88a795d,1393953491,container change,src/checkstyle/com/puppycrawl/tools/checkstyle/TreeWalker.java,src/main/java/com/puppycrawl/tools/checkstyle/TreeWalker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.(public)(final)TreeWalker(51)","src/main/java/com.puppycrawl.tools.checkstyle.(public)(final)TreeWalker(51)",TP,"Move Source Folder src/checkstyle to src/main/java"
checkstyle-TreeWalker.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.(public)(final)TreeWalker(47)",93390fbc8a6952bbb20571ac1b18a705814fc219,b33ff29c69de2b8aca3b7f73315f4594bdce4c24,1037520800,modifier change,src/checkstyle/com/puppycrawl/tools/checkstyle/TreeWalker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/TreeWalker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.(package)TreeWalker(39)","src/checkstyle/com.puppycrawl.tools.checkstyle.(public)(final)TreeWalker(39)",TP,"Add Class Modifier final in class com.puppycrawl.tools.checkstyle.TreeWalker"
checkstyle-TreeWalker.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.(public)(final)TreeWalker(47)",93390fbc8a6952bbb20571ac1b18a705814fc219,b33ff29c69de2b8aca3b7f73315f4594bdce4c24,1037520800,access modifier change,src/checkstyle/com/puppycrawl/tools/checkstyle/TreeWalker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/TreeWalker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.(package)TreeWalker(39)","src/checkstyle/com.puppycrawl.tools.checkstyle.(public)(final)TreeWalker(39)",TP,"Change Class Access Modifier package to public in class com.puppycrawl.tools.checkstyle.TreeWalker"
checkstyle-TreeWalker.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.(public)(final)TreeWalker(47)",c266dfbc64543c428d550a478f851c959493b0f5,19257b2cdb950aac0b729ee8a3a979e5605163f9,1032093857,introduced,src/checkstyle/com/puppycrawl/tools/checkstyle/TreeWalker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/TreeWalker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.(package)TreeWalker(32)","src/checkstyle/com.puppycrawl.tools.checkstyle.(package)TreeWalker(32)",TP,"new class"
checkstyle-WhitespaceAroundCheck.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.checks.whitespace.(public)WhitespaceAroundCheck(28)",dd36ada80620aea09beb2fd2553d7bb172ff86e9,5cdbb191a17c65c2956b35d71513e9b59b6d2166,1509412562,annotation change,src/main/java/com/puppycrawl/tools/checkstyle/checks/whitespace/WhitespaceAroundCheck.java,src/main/java/com/puppycrawl/tools/checkstyle/checks/whitespace/WhitespaceAroundCheck.java,"src/main/java/com.puppycrawl.tools.checkstyle.checks.whitespace.(public)WhitespaceAroundCheck(27)","src/main/java/com.puppycrawl.tools.checkstyle.checks.whitespace.(public)WhitespaceAroundCheck(28)",TP,"Add Class Annotation @StatelessCheck in class com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck"
checkstyle-WhitespaceAroundCheck.json,"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.checks.whitespace.(public)WhitespaceAroundCheck(28)",1cdaeaaa4fbf02a7388f1fcbea1c86ef0ea32fed,f1efb27670a93690577f1bae17fc9dcbd88a795d,1393953491,container change,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/whitespace/WhitespaceAroundCheck.java,src/main/java/com/puppycrawl/tools/checkstyle/checks/whitespace/WhitespaceAroundCheck.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.checks.whitespace.(public)WhitespaceAroundCheck(25)","src/main/java/com.puppycrawl.tools.checkstyle.checks.whitespace.(public)WhitespaceAroundCheck(25)",TP,"Move Source Folder src/checkstyle to src/main/java"
