tool,oracle,level,processing_time_avg,processing_time_median,tp,fp,fn,precision,recall
tracker,training,change,7575.630000,3920,3556,3,1,99.915707,99.971886
tracker,training,commit,7575.630000,3920,2824,1,1,99.964602,99.964602
tracker,test,change,14450.650000,5056,1037,3,3,99.711538,99.711538
tracker,test,commit,14450.650000,5056,839,0,0,100.000000,100.000000
