repository,element_key,parent_commit_id,commit_id,commit_time, change_type,element_file_before,element_file_after,element_name_before,element_name_after,result
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",58219b9bd31c8f7fbc4f4bba0eeb811851f276b3,b8ca6a585b824e91b3b8c72dd5cc53c0eb0ab0f1,1421678312,parameter change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",b33ff29c69de2b8aca3b7f73315f4594bdce4c24,82b2ba526976588d550cac698e512f8de6c1ffc6,1037521490,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",0e04e5088cb8a9212df8e1c15d774835196ce1b0,7aa061665c2b005f97b0c05bf03604636175dc9a,1418625204,annotation change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",FN
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",2279ec2a489d1104f2741f2aa3458857d862ac34,6970485b88600343de72af03a6bf87cf78e6cf55,1019718220,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",a963f8a21bd47624ec9f1eea72c9326e2ca01c8a,56cc11416ebdf52dd299d11424fb04fda42fa63f,1478807994,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",a49d4e972a6bfd26e73e42337ff75d50b4df8959,54a09706ec1db32435b09e6b6910813325558f8d,1037733445,modifier change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",aae2d7156dd98b3d5140002bed33ab5962bca85c,3a20dbe8edafe0cca300b7b9dfa48effa9a36a06,1427826303,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",e82d6989e05d57d7fee2062ea621f9cedf490db4,327c0bc843612486ab4ded32a2f01038e1271fd0,1515029424,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",8dc1a8ab994076f3fc10bab9248a2439ee54b443,21f0b07bd031f022d14106150af66ceddb4c06b8,1058170930,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",495227c6086c83d4cb4547f7a3fe7ff8976853ea,20483ae032296610315fafb9a8774cfdd0e13857,1029060061,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",a9bfdceec2a2d86a622c03fbd4052f007b5e70cc,1e7d8eef0641edcf97316618c8fab40bd248133d,1058300282,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",5ce771ac776af4197ce832792a049e9357ca90b8,1d614c3a7ecf8a3ede4df8a50da46e71792d0025,1386263571,parameter change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, TreeSet)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",7c22cbca328161b61049c4a3240613959341fb9a,1846dacad6c2a3a04b3350b45bb8b05835192296,1058522231,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",5dfb3f5a9e0206f9f80f9f067faa3dbe7766cef9,13b7c634337e38d20daa92ca9d5e069a2e72ec55,1226223447,parameter change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LocalizedMessage[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, TreeSet)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, SortedSet)",f34eba11cbd8559d4d06f96e19affa70abaf86ff,0e3fe5643667a53079dbd114e5b1e9aa91fde083,999188004,introduced,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#fireErrors(String, LineText[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",e287c5e741ce8b13d19e7f0885977792a0d0fcc9,f38d8abd42c3e824635e542e6031b3da1997c02e,1198131671,parameter change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(File[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",cb5f9827e5ee8bd134452862c8eb526554e8f2c2,f374e2e7a0b0fe2df21ed85aef77a91630b1dd66,1430064836,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",379fbd8e2066003bbf87dd9515fe5a112b6cf4be,f1fcae23142431016234774318e6ce3b5ccb48f4,1226227438,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",1cdaeaaa4fbf02a7388f1fcbea1c86ef0ea32fed,f1efb27670a93690577f1bae17fc9dcbd88a795d,1393953491,container change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",546f336e25b26d072f96e2cda139b885858ed5b0,f1e80e4ecae727087ca135dfd02f72e2d6213efb,1439008721,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",08638b5f739d9929698860048c052da2d5f80209,f1afaf83f39b83cc3bd07a2388448b262652a76b,1197706480,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(File[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(File[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",346387c717048391485fb28f877531aab1095de1,f020066f8bdfb378df36904af3df8b5bc48858fd,1446385952,documentation change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",346387c717048391485fb28f877531aab1095de1,f020066f8bdfb378df36904af3df8b5bc48858fd,1446385952,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",efc6142fb04bfdaf04775ea2e61a3885b7ee3861,ee518dfe86b29d1fa4d76f0dc0c11fb83afafda1,1428961380,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",d87ea06ebb50622ac5327ec6c9765486aa032ff1,edf2c95634cd0c657465723eb0dc2e6f1834eeba,1010302836,modifier change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(String[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(String[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",8c6863abdf85264d2a5624e33384c9d57bf32968,ecbeaa6e1df7cb021745e111b04395b9fbd509c7,1463431992,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",3fe08f2968aed996a2b28f0f95a559c191e2982e,ead1a5e5dca96e2ad15426696f48a9c244385aff,1438783577,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",6e96026ec6d95fc5eadd3044cab91c24c73c8e0c,e00c478dd61d9d883e41b500b780ab217582c2e7,1287650559,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",9eafaedfc010a179c284df98162c4d3ab8ab2645,de022d2434e58dd633fd50a7f9bb50565a8767b5,1473337840,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",3c2c3f7f59671fc9d03cd7b9fea7a9bbf389dff6,d46c2cf0e9df06bb5f424dbd7645574f082f7609,1455040202,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",3c2c3f7f59671fc9d03cd7b9fea7a9bbf389dff6,d46c2cf0e9df06bb5f424dbd7645574f082f7609,1455040202,documentation change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",1cc3442facbbe8e62806996a4bacd92e809ff9a9,d347f55756052db6b23ae41168c44e324807c621,1426743023,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",1cc3442facbbe8e62806996a4bacd92e809ff9a9,d347f55756052db6b23ae41168c44e324807c621,1426743023,documentation change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",46c634bea20f6d959c4edbd88a4faf5679c96a5d,ce9f55c439621cd2a130519aea0ca4367bc7c67c,1039069791,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(File[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(File[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",ed595de84fba2db507adaf01d04cb089a5e0bac5,cdf3e56bacd3895262af8a1df9ca5c81f4071970,1440677821,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",9acdd1b97e561748ae8cc61e11dcc145885ecb6d,c617457933a978f5fd861d7ea43d05bccf045c16,1012940522,documentation change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(String[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(String[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",9acdd1b97e561748ae8cc61e11dcc145885ecb6d,c617457933a978f5fd861d7ea43d05bccf045c16,1012940522,body change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(String[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(String[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",58219b9bd31c8f7fbc4f4bba0eeb811851f276b3,b8ca6a585b824e91b3b8c72dd5cc53c0eb0ab0f1,1421678312,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",58219b9bd31c8f7fbc4f4bba0eeb811851f276b3,b8ca6a585b824e91b3b8c72dd5cc53c0eb0ab0f1,1421678312,parameter change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",fe6e0fd4231aaba97cf423899f93697400880c93,b84b3fd04ad9c45e1466e35b707a2b59f5baf66b,1032849251,documentation change,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,"src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(String[])","src/checkstyle/com.puppycrawl.tools.checkstyle.Checker#process(String[])",TP
"https://github.com/checkstyle/checkstyle.git","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",4ac32a7c0cf72ee35630432ce260293f80d886b8,b29ca6b5f676e92243186abdba84a7501baea1bd,1429909753,body change,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,"src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)","src/main/java/com.puppycrawl.tools.checkstyle.Checker#process(List)",TP
